scenario,protocol,architecture,traffic_level,num_spots,sim_duration_s,access_loss,backhaul_loss,agg_interval_s,mqtt_qos,coap_mode,amqp_exchange,amqp_ack,amqp_durable,heartbeat_interval_s,n_runs,seeds,metric,mean,std,ci95_low,ci95_high,ci95_halfwidth
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,backhaul_delivery_ratio,0.98046,0.00345,0.976177,0.984743,0.004283
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,message_reduction_ratio,0.92166,0.000999,0.92042,0.9229,0.00124
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,aggregation_ratio,0.15174,0.002628,0.148477,0.155003,0.003263
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_bytes_sent,626548.4,9956.818834,614187.358492,638909.441508,12361.041508
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_sent,717.2,1.643168,715.160065,719.239935,2.039935
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,frames_e2c_delivered,702.2,3.420526,697.953537,706.446463,4.246463
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_e2c_sent,610116.0,10116.909533,597556.211502,622675.788498,12559.788498
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,bytes_s2e_sent,184485.0,1958.904668,182053.088531,186916.911469,2431.911469
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_retransmissions,0.0,0.0,0.0,0.0,0.0
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,proto_duplicate_deliveries,0.0,0.0,0.0,0.0,0.0
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,unique_state_changes_applied_at_cloud,3101.8,76.113074,3007.308287,3196.291713,94.491713
A4_edge_agg_15s,mqtt,edge_aggregated,peak,500,10800.0,0.05,0.02,15.0,0,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,duplicate_events_at_cloud,0.0,0.0,0.0,0.0,0.0
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_mean_ms,132.304,2.652401,129.011137,135.596863,3.292863
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p50_ms,111.79,0.638122,110.997794,112.582206,0.792206
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p95_ms,169.272,2.246034,166.483627,172.060373,2.788373
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,latency_p99_ms,1108.624,6.591231,1100.441217,1116.806783,8.182783
A5_edge_anomaly,mqtt,edge_filtered,peak,500,10800.0,0.05,0.02,1.0,1,CON,direct,manual,True,900.0,5,1000;1001;1002;1003;1004,e2e_unique_delivery_ratio,0.92264,0.003139,0.918743,0.926537,0.003897
