Scenario Log: A9_adaptive_edge
Architecture: edge_aggregated   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 0
  Anomalies resolved    : 0
  Active at end         : 0
  Affected spots        : 0
  Quarantined at end    : 0
  Quarantine suppressed : 0
  Heartbeats suppressed : 30630
  Adaptive mode switches: 4

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
       34800.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.853 < 90% delta_sent=9 delta_recv=5 agg_interval=5.0→10.0s
       34890.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.859 < 90% delta_sent=9 delta_recv=8 agg_interval=10.0→20.0s
       34980.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.880 < 90% delta_sent=8 delta_recv=8 agg_interval=20.0→40.0s
       35100.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.898 < 90% delta_sent=9 delta_recv=9 agg_interval=40.0→60.0s
       35400.0  AGG_WINDOW_DECREASE     DR=0.926 healthy, agg_interval=60.0→30.0s
       35520.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.881 < 90% delta_sent=8 delta_recv=5 agg_interval=30.0→60.0s
       35670.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.882 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
       35790.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.900 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       35970.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.900 < 90% delta_sent=10 delta_recv=9 agg_interval=60.0→60.0s
       36630.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.886 < 90% delta_sent=9 delta_recv=7 agg_interval=60.0→60.0s
       36900.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=8 delta_recv=7 agg_interval=60.0→60.0s
       37110.0  AGG_WINDOW_DECREASE     DR=0.927 healthy, agg_interval=60.0→30.0s
       37230.0  AGG_WINDOW_DECREASE     DR=0.938 healthy, agg_interval=30.0→15.0s
       37320.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.872 < 90% delta_sent=8 delta_recv=4 agg_interval=15.0→30.0s
       37440.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.873 < 90% delta_sent=8 delta_recv=7 agg_interval=30.0→60.0s
       37530.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.873 < 90% delta_sent=8 delta_recv=7 agg_interval=60.0→60.0s
       37650.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.859 < 90% delta_sent=9 delta_recv=7 agg_interval=60.0→60.0s
       37770.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.880 < 90% delta_sent=10 delta_recv=10 agg_interval=60.0→60.0s
       37890.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.881 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
       38040.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=9 delta_recv=9 agg_interval=60.0→60.0s
       38160.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.831 < 90% delta_sent=9 delta_recv=4 agg_interval=60.0→60.0s
       38280.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.840 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
       38370.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.864 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       38490.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.884 < 90% delta_sent=10 delta_recv=10 agg_interval=60.0→60.0s
       38910.0  AGG_WINDOW_DECREASE     DR=0.929 healthy, agg_interval=60.0→30.0s
       39030.0  AGG_WINDOW_DECREASE     DR=0.921 healthy, agg_interval=30.0→15.0s
       39150.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.895 < 90% delta_sent=8 delta_recv=6 agg_interval=15.0→30.0s
       39270.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.855 < 90% delta_sent=8 delta_recv=5 agg_interval=30.0→60.0s
       39420.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.820 < 90% delta_sent=8 delta_recv=5 agg_interval=60.0→60.0s
       39540.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.810 < 90% delta_sent=8 delta_recv=6 agg_interval=60.0→60.0s
       39630.0  MODE_SWITCH             aggregated→filtered backhaul_window_DR=0.782 < 90% delta_sent=8 delta_recv=5 agg_interval=60.0→60.0s
       49380.0  MODE_SWITCH             filtered→aggregated backhaul_window_DR=0.925 >= 92% delta_sent=10 delta_recv=10
       50820.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.884 < 90% delta_sent=8 delta_recv=5 agg_interval=5.0→10.0s
       51270.0  AGG_WINDOW_DECREASE     DR=0.922 healthy, agg_interval=10.0→5.0s
       55410.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.899 < 90% delta_sent=9 delta_recv=7 agg_interval=5.0→10.0s
       55590.0  AGG_WINDOW_DECREASE     DR=0.927 healthy, agg_interval=10.0→5.0s
       80070.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.896 < 90% delta_sent=8 delta_recv=7 agg_interval=5.0→10.0s
       80280.0  AGG_WINDOW_DECREASE     DR=0.925 healthy, agg_interval=10.0→5.0s
       84150.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.864 < 90% delta_sent=10 delta_recv=5 agg_interval=5.0→10.0s
       84240.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.868 < 90% delta_sent=9 delta_recv=8 agg_interval=10.0→20.0s
       84330.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.888 < 90% delta_sent=9 delta_recv=9 agg_interval=20.0→40.0s
       84810.0  AGG_WINDOW_DECREASE     DR=0.926 healthy, agg_interval=40.0→20.0s
       84930.0  AGG_WINDOW_DECREASE     DR=0.937 healthy, agg_interval=20.0→10.0s
       85020.0  AGG_WINDOW_DECREASE     DR=0.946 healthy, agg_interval=10.0→5.0s
       85080.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.900 < 90% delta_sent=11 delta_recv=7 agg_interval=5.0→10.0s
       85170.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.859 < 90% delta_sent=8 delta_recv=5 agg_interval=10.0→20.0s
       85290.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.861 < 90% delta_sent=8 delta_recv=7 agg_interval=20.0→40.0s
       85380.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.844 < 90% delta_sent=8 delta_recv=6 agg_interval=40.0→60.0s
       85500.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.868 < 90% delta_sent=10 delta_recv=10 agg_interval=60.0→60.0s
       85620.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.871 < 90% delta_sent=9 delta_recv=8 agg_interval=60.0→60.0s
       85740.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.890 < 90% delta_sent=8 delta_recv=8 agg_interval=60.0→60.0s
       85950.0  AGG_WINDOW_DECREASE     DR=0.921 healthy, agg_interval=60.0→30.0s
       86070.0  AGG_WINDOW_DECREASE     DR=0.933 healthy, agg_interval=30.0→15.0s
       86160.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.886 < 90% delta_sent=8 delta_recv=5 agg_interval=15.0→30.0s
       86280.0  AGG_WINDOW_INCREASE     backhaul_window_DR=0.887 < 90% delta_sent=9 delta_recv=8 agg_interval=30.0→60.0s
