Scenario Log: A5_edge_anomaly
Architecture: edge_filtered   Protocol: mqtt
Traffic: peak   Spots: 500   Duration: 86400s
========================================================================

SUMMARY
  Anomalies detected    : 1332
  Anomalies resolved    : 1318
  Active at end         : 14
  Affected spots        : 34
  Quarantined at end    : 30
  Quarantine suppressed : 137
  Heartbeats suppressed : 32823
  Adaptive mode switches: 0

EVENT LOG
  t_virtual(s)  event                   detail
------------------------------------------------------------------------
       16830.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       16860.0  ANOMALY_FLAG            spot=337 rule=seq_integrity
       16860.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       17130.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       17250.0  ANOMALY_FLAG            spot=427 rule=seq_integrity
       17490.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       17490.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       17610.0  ANOMALY_FLAG            spot=320 rule=seq_integrity
       17670.0  ANOMALY_FLAG            spot=311 rule=seq_integrity
       17700.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
       17730.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
       17730.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       17760.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       17850.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       17910.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
       18030.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
       18090.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       18120.0  ANOMALY_FLAG            spot=296 rule=seq_integrity
       18210.0  ANOMALY_FLAG            spot=6 rule=seq_integrity
       18300.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       18330.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       18630.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       18660.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       18660.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       18720.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
       18720.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       18720.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       18780.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       18810.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
       19110.0  ANOMALY_FLAG            spot=152 rule=seq_integrity
       19110.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       19200.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
       19260.0  ANOMALY_FLAG            spot=288 rule=seq_integrity
       19290.0  ANOMALY_FLAG            spot=495 rule=seq_integrity
       19320.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       19320.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       19320.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       19350.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       19380.0  ANOMALY_FLAG            spot=282 rule=seq_integrity
       19440.0  ANOMALY_FLAG            spot=289 rule=rate_outlier
       19440.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       19440.0  ANOMALY_FLAG            spot=327 rule=seq_integrity
       19560.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       19560.0  ANOMALY_FLAG            spot=463 rule=seq_integrity
       19590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       19590.0  ANOMALY_FLAG            spot=365 rule=seq_integrity
       19710.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
       19710.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
       19710.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       19740.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       19860.0  ANOMALY_FLAG            spot=79 rule=seq_integrity
       19890.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       20010.0  ANOMALY_FLAG            spot=296 rule=seq_integrity
       20070.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       20310.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       20430.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       20460.0  ANOMALY_FLAG            spot=199 rule=seq_integrity
       20700.0  ANOMALY_FLAG            spot=471 rule=seq_integrity
       20760.0  ANOMALY_FLAG            spot=52 rule=seq_integrity
       20820.0  ANOMALY_FLAG            spot=490 rule=rate_outlier
       20820.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       20850.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       21060.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       21120.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
       21150.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       21180.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       21210.0  ANOMALY_FLAG            spot=435 rule=seq_integrity
       21330.0  ANOMALY_FLAG            spot=376 rule=seq_integrity
       21480.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       21510.0  ANOMALY_FLAG            spot=369 rule=seq_integrity
       21510.0  ANOMALY_FLAG            spot=164 rule=seq_integrity
       21540.0  ANOMALY_FLAG            spot=285 rule=rate_outlier
       21630.0  ANOMALY_FLAG            spot=308 rule=seq_integrity
       21630.0  ANOMALY_FLAG            spot=42 rule=seq_integrity
       21750.0  ANOMALY_FLAG            spot=324 rule=seq_integrity
       21750.0  ANOMALY_FLAG            spot=91 rule=seq_integrity
       22080.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       22110.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       22230.0  ANOMALY_FLAG            spot=490 rule=seq_integrity
       22260.0  ANOMALY_FLAG            spot=354 rule=seq_integrity
       22320.0  ANOMALY_FLAG            spot=289 rule=seq_integrity
       22350.0  ANOMALY_FLAG            spot=439 rule=seq_integrity
       22380.0  ANOMALY_FLAG            spot=224 rule=rate_outlier
       22380.0  ANOMALY_FLAG            spot=224 rule=seq_integrity
       22590.0  ANOMALY_FLAG            spot=176 rule=seq_integrity
       22800.0  ANOMALY_FLAG            spot=322 rule=seq_integrity
       22920.0  ANOMALY_FLAG            spot=104 rule=seq_integrity
       23160.0  ANOMALY_FLAG            spot=258 rule=seq_integrity
       23310.0  ANOMALY_FLAG            spot=285 rule=seq_integrity
       23460.0  ANOMALY_FLAG            spot=175 rule=seq_integrity
       23490.0  ANOMALY_FLAG            spot=470 rule=seq_integrity
       23700.0  ANOMALY_FLAG            spot=193 rule=seq_integrity
       23820.0  ANOMALY_FLAG            spot=428 rule=seq_integrity
       23880.0  ANOMALY_FLAG            spot=65 rule=seq_integrity
